candidate,hth,n,date,firm,total,gop,dem,ind,men,women,white_coll,white_nocoll,age_18_34,age_35_49,age_50_64,age_65_inf,white_men,white_women,white,black,hisp
Trump,Buttigieg,1422,2019-08-28,Quinnipiac,0.4,0.89,0.06,0.31,0.47,0.33,0.41,0.53,0.33,0.38,0.44,0.44,0.55,0.39,0.47,0.12,0.26
[lost],Buttigieg,1422,2019-08-28,Quinnipiac,0.05,0.02,0.04,0.08,0.07,0.04,0.03,0.03,0.04,0.06,0.03,0.05,0.04,0.02,0.03,0.09,0.06999999999999999
Buttigieg,Buttigieg,1214,2019-06-11,Quinnipiac,0.47,0.02,0.91,0.47,0.4,0.53,0.47,0.37,0.52,0.47,0.43,0.49,0.37,0.46,0.42,0.74,0.49
Trump,Buttigieg,1214,2019-06-11,Quinnipiac,0.42,0.94,0.04,0.32,0.5,0.35,0.45,0.54,0.32,0.44,0.5,0.4,0.56,0.44,0.49,0.13,0.36
[lost],Buttigieg,1214,2019-06-11,Quinnipiac,0.04,0,0.02,0.08,0.05,0.03,0.03,0.03,0.07,0.02,0.02,0.04,0.03,0.02,0.03,0.05,0.04
Harris,Harris,1422,2019-08-28,Quinnipiac,0.51,0.07,0.9,0.51,0.43,0.58,0.5,0.41,0.58,0.51,0.5,0.47,0.36,0.54,0.45,0.82,0.6
Trump,Harris,1422,2019-08-28,Quinnipiac,0.4,0.89,0.04,0.33,0.46,0.34,0.41,0.54,0.3,0.38,0.45,0.44,0.55,0.4,0.48,0.08,0.24
[lost],Harris,1422,2019-08-28,Quinnipiac,0.05,0.02,0.04,0.07,0.07,0.03,0.04,0.03,0.05,0.05,0.02,0.05,0.04,0.02,0.03,0.09,0.04
Harris,Harris,1214,2019-06-11,Quinnipiac,0.49,0.02,0.93,0.53,0.41,0.56,0.47,0.37,0.55,0.5,0.44,0.5,0.38,0.46,0.42,0.86,0.49
Trump,Harris,1214,2019-06-11,Quinnipiac,0.41,0.94,0.04,0.31,0.5,0.34,0.45,0.54,0.28,0.43,0.52,0.41,0.55,0.44,0.5,0.08,0.38
[lost],Harris,1214,2019-06-11,Quinnipiac,0.03,0.02,0.02,0.07,0.05,0.02,0.03,0.02,0.08,0.01,0.02,0.03,0.03,0.02,0.03,0.01,0.06
Biden,Biden,1483,2019-10-08,Quinnipiac,0.51,0.08,0.97,0.49,0.46,0.56,0.54,0.36,0.6,0.47,0.52,0.51,0.37,0.51,0.45,0.86,0.6
Trump,Biden,1483,2019-10-08,Quinnipiac,0.4,0.9,0.02,0.34,0.45,0.36,0.4,0.54,0.31,0.41,0.41,0.45,0.55,0.41,0.47,0.06,0.33
[lost],Biden,1483,2019-10-08,Quinnipiac,0.05,0.01,0.01,0.11000000000000001,0.04,0.05,0.04,0.04,0.05,0.09,0.03,0.02,0.04,0.05,0.04,0.060000000000000005,0.03
Sanders,Sanders,1483,2019-10-08,Quinnipiac,0.49,0.07,0.93,0.48,0.44,0.54,0.51,0.36,0.63,0.43,0.48,0.48,0.37,0.49,0.44,0.87,0.51
Trump,Sanders,1483,2019-10-08,Quinnipiac,0.42,0.91,0.03,0.38,0.47,0.36,0.41,0.55,0.32,0.42,0.43,0.46,0.56,0.42,0.48,0.06,0.33
[lost],Sanders,1483,2019-10-08,Quinnipiac,0.05,0.01,0.03,0.09,0.04,0.06,0.05,0.03,0.01,0.09,0.06,0.03,0.04,0.05,0.04,0.04,0.05
Warren,Warren,1483,2019-10-08,Quinnipiac,0.49,0.07,0.93,0.47,0.44,0.55,0.51,0.37,0.61,0.44,0.49,0.49,0.36,0.51,0.44,0.85,0.52
Trump,Warren,1483,2019-10-08,Quinnipiac,0.41,0.9,0.03,0.37,0.48,0.36,0.41,0.54,0.33,0.42,0.42,0.45,0.56,0.41,0.48,0.07,0.33
[lost],Warren,1483,2019-10-08,Quinnipiac,0.05,0.02,0.03,0.09,0.05,0.05,0.04,0.03,0.02,0.11000000000000001,0.03,0.03,0.04,0.04,0.04,0.060000000000000005,0.08
